GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Library Management System,com.library.model,Book,2,5,0,0,1,2,1,2,1,2
Library Management System,com.library.model,Borrowing,0,67,0,6,0,16,0,19,0,16
Library Management System,com.library.model,Media,0,41,0,0,0,12,0,11,0,11
Library Management System,com.library.model,Journal,4,3,0,0,2,1,2,1,2,1
Library Management System,com.library.model,User,0,45,0,0,0,13,0,13,0,13
Library Management System,com.library.model,Fine,0,45,0,0,0,13,0,13,0,13
Library Management System,com.library.model,CD,4,3,0,0,2,1,2,1,2,1
Library Management System,com.library.dao,FineDAO,1,365,5,21,0,96,5,17,0,9
Library Management System,com.library.dao,UserDAO,1,304,5,17,0,78,5,14,0,8
Library Management System,com.library.dao,MediaDAO,3,337,5,34,0,80,5,25,0,10
Library Management System,com.library.dao,BorrowingDAO,4,450,8,32,0,125,8,21,0,9
Library Management System,com.library.util,DisplayPrinter,6,225,2,26,1,41,3,18,1,6
Library Management System,com.library.util,ValidationHelper,5,52,2,8,1,6,3,6,1,3
Library Management System,com.library.strategy,JournalFineStrategy,0,7,0,0,0,2,0,2,0,2
Library Management System,com.library.strategy,BookFineStrategy,0,7,0,0,0,2,0,2,0,2
Library Management System,com.library.strategy,CDFineStrategy,0,7,0,0,0,2,0,2,0,2
Library Management System,com.library.app,LibrarianCLI,0,58,0,4,0,24,0,5,0,3
Library Management System,com.library.app,AdminCLI,1,355,3,27,0,104,3,25,0,9
Library Management System,com.library.app,UserCLI,0,213,1,12,0,67,1,15,0,7
Library Management System,com.library.app,MenuPrinter,0,24,0,0,0,10,0,3,0,3
Library Management System,com.library.app,InputHelper,9,114,1,11,3,31,1,10,0,5
Library Management System,com.library.service,FineReportService,1,90,3,15,0,18,3,8,0,2
Library Management System,com.library.service,AdminService,24,240,1,25,4,52,2,24,1,12
Library Management System,com.library.service,EmailService.new Authenticator() {...},16,0,0,0,2,0,2,0,2,0
Library Management System,com.library.service,LibrarianService,0,287,2,27,0,54,2,17,0,4
Library Management System,com.library.service,ReminderService,0,113,2,14,0,22,2,8,0,2
Library Management System,com.library.service,DotenvEmailServer,10,39,1,3,4,11,1,4,0,3
Library Management System,com.library.service,AuthService,0,48,2,8,0,8,2,5,0,2
Library Management System,com.library.service,EmailNotifier,0,20,0,4,0,6,0,4,0,2
Library Management System,com.library.service,EmailService,71,9,0,0,18,4,1,1,1,1
Library Management System,com.library.service,FineSummary,0,46,0,4,0,10,0,6,0,4
Library Management System,com.library.service,FineCalculator,4,11,0,0,2,4,1,2,1,2
Library Management System,com.library.service,UserService,5,250,1,23,2,54,1,29,0,18
